"execution time: %1 seconds","execution time: %1 seconds"
"the export for the store %1 (%2) generated the following file: %3","the export for the store %1 (%2) generated the following file: %3"
"unauthorised IP: %1","unauthorised IP: %1"
"unauthorised access for this token: %1","unauthorised access for this token: %1"
"unauthorised access: token parameter is empty","unauthorised access: token parameter is empty"
"WARNING! %1 simple product(s) associated with configurable products are disabled","WARNING! %1 simple product(s) associated with configurable products are disabled"
"unable to create folder %1","unable to create folder %1"
"unable to access the folder %1","unable to access the folder %1"
"the junction with the %1 table did not work","the junction with the %1 table did not work"
"Action: %1 is not a valid action","Action: %1 is not a valid action"
"WARNING! Debug Mode is activated","WARNING! Debug Mode is activated"
"## start %1 import ##","## start %1 import ##"
"## end %1 import ##","## end %1 import ##"
"start import in store %1 (%2)","start import in store %1 (%2)"
"get order with order ID: %1 and marketplace: %2","get order with order ID: %1 and marketplace: %2"
"get orders between %1 and %2 for catalogs ID: %3","get orders between %1 and %2 for catalogs ID: %3"
"catalog ID %1 is already used by shop %2 (%3)","catalog ID %1 is already used by shop %2 (%3)"
"%1 order found for order ID: %2 and marketplace: %3 with account ID: %4","%1 order found for order ID: %2 and marketplace: %3 with account ID: %4"
"%1 order(s) found with account ID: %2","%1 order(s) found with account ID: %2"
"%1 orders processed, %2 created, %3 updated, %4 failed, %5 ignored and %5 not formatted","%1 orders processed, %2 created, %3 updated, %4 failed, %5 ignored and %5 not formatted"
"import failed - %1","import failed - %1"
"marketplace update failed - %1","marketplace update failed - %1"
"import order failed - Lengow error: no package in the order","import order failed - Lengow error: no package in the order"
"import order failed - Lengow error: no delivery address in the order","import order failed - Lengow error: no delivery address in the order"
"import order failed - wrong package number","import order failed - wrong package number"
"%1 (created on the %2)","%1 (created on the %2)"
"order already imported (ORDER ID %1)","order already imported (ORDER ID %1)"
"order ready to be re-imported (ORDER ID %1)","order ready to be re-imported (ORDER ID %1)"
"already imported in Magento with the order ID %1","already imported in Magento with the order ID %1"
"current order status %1 means it is not possible to import the order to the marketplace %2","current order status %1 means it is not possible to import the order to the marketplace %2"
"import order failed - %1","import order failed - %1"
"generate a unique email %1","generate a unique email %1"
"create customer failed - %1","create customer failed - %1"
"the chosen shipping method is not available for this order. Lengow has assigned a shipping method","the chosen shipping method is not available for this order. Lengow has assigned a shipping method"
"order shipped by %1","order shipped by %1"
"product %1 could not be added to cart - status: %2","product %1 could not be added to cart - status: %2"
"product id %1 found with field %2 (%3)","product id %1 found with field %2 (%3)"
"WARNING! Order could NOT be saved in Lengow orders table","WARNING! Order could NOT be saved in Lengow orders table"
"order saved in Lengow orders table","order saved in Lengow orders table"
"order updated in Lengow orders table","order updated in Lengow orders table"
"adding quantity back to stock count (order is re-imported)","adding quantity back to stock count (order is re-imported)"
